eventName,year,categoryName,characterName,isWinner,isMultifilm,nomineeIds,nomId,filmId,name,surname,placeName,stateName,dateOfBirth,raceName,religionName,sexualOrientationName,nominationName,movieName,bioURL
1,1927,Acting,General Dolgorucki [Grand Duke Sergius Alexander],True,True,nm0417837,an0051250a,tt0019071,Emil,Jannings,Rorschach, Switzerland,1884-07-23,White,Na,Bisexual,Best Actor,The Last Command,http://www.nndb.com/people/738/000063549/
1,1927,Acting,August Schilling,True,True,nm0417837,an0051250b,tt0019553,Emil,Jannings,Rorschach, Switzerland,1884-07-23,White,Na,Bisexual,Best Actor,The Last Command,http://www.nndb.com/people/738/000063549/
1,1927,Acting,Diane,True,True,nm0310980,an0051254a,tt0018379,Janet,Gaynor,Philadelphia, Pa,1906-10-06,White,Na,Straight,Best Actress,7th Heaven,http://www.nndb.com/people/129/000043000/
1,1927,Acting,Angela,True,True,nm0310980,an0051254b,tt0019429,Janet,Gaynor,Philadelphia, Pa,1906-10-06,White,Na,Straight,Best Actress,7th Heaven,http://www.nndb.com/people/129/000043000/
1,1927,Acting,The Wife,True,True,nm0310980,an0051254c,tt0018455,Janet,Gaynor,Philadelphia, Pa,1906-10-06,White,Na,Straight,Best Actress,7th Heaven,http://www.nndb.com/people/129/000043000/
10,1937,Acting,Esther Blodgett/Vicki Lester,False,False,nm0310980,an0047886,tt0029606,Janet,Gaynor,Philadelphia, Pa,1906-10-06,White,Na,Straight,Best Actress,7th Heaven,http://www.nndb.com/people/129/000043000/
1,1927,Directing,,True,False,nm0587277,an0051257,tt0018515,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,Two Arabian Knights,http://www.nndb.com/people/320/000043191/
1,1927,Directing,,True,False,nm0587277,an0051257,tt0018515,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,All Quiet on the Western Front,http://www.nndb.com/people/320/000043191/
3,1929,Directing,,True,False,nm0587277,an0053854,tt0020629,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,Two Arabian Knights,http://www.nndb.com/people/320/000043191/
3,1929,Directing,,True,False,nm0587277,an0053854,tt0020629,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,All Quiet on the Western Front,http://www.nndb.com/people/320/000043191/
4,1930,Directing,,False,False,nm0587277,an0050092,tt0021890,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,Two Arabian Knights,http://www.nndb.com/people/320/000043191/
4,1930,Directing,,False,False,nm0587277,an0050092,tt0021890,Lewis,Milestone,Chisinau, Moldova,1895-09-30,White,Na,Straight,Best Director,All Quiet on the Western Front,http://www.nndb.com/people/320/000043191/
1,1927,Directing,,True,False,nm0097648,an0051260,tt0018379,Frank,Borzage,Salt Lake City, Ut,1894-04-23,White,Roman Catholic,Straight,Best Director,Bad Girl,http://www.nndb.com/people/292/000044160/
5,1931,Directing,,True,False,nm0097648,an0053444,tt0021635,Frank,Borzage,Salt Lake City, Ut,1894-04-23,White,Roman Catholic,Straight,Best Director,Bad Girl,http://www.nndb.com/people/292/000044160/
2,1928,Acting,The Cisco Kid,True,False,nm0062828,an0053791,tt0020018,Warner,Baxter,Columbus, Oh,1889-03-29,White,Na,Straight,Best Actor,In Old Arizona,http://www.nndb.com/people/739/000063550/
2,1928,Acting,James Dyke,False,False,nm0612847,an0053794,tt0020543,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
6,1932,Acting,James Allen,False,False,nm0612847,an0052209,tt0023042,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
8,1935,Acting,Joe Radek,False,False,nm0612847,an0050246,tt0026121,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
9,1936,Acting,Louis Pasteur,True,False,nm0612847,an0056265,tt0028313,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
10,1937,Acting,Emile Zola,False,False,nm0612847,an0047882,tt0029146,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
32,1959,Acting,Dr. Sam Abelman,False,False,nm0612847,an0055733,tt0052990,Paul,Muni,Lviv, Ukraine,1895-09-22,White,Jewish,Straight,Best Actor,The Story of Louis Pasteur,http://www.nndb.com/people/741/000063552/
2,1928,Acting,Norma Besant,True,False,nm0681933,an0053796,tt0019788,Mary,Pickford,Toronto, Ontario,1892-04-08,White,Na,Straight,Best Actress,Coquette,http://www.nndb.com/people/683/000042557/
2,1928,Directing,,False,False,nm0000859,an0053803,tt0020126,Lionel,Barrymore,Philadelphia, Pa,1878-04-28,White,Roman Catholic,Straight,Best Actor,A Free Soul,http://www.nndb.com/people/741/000043612/
4,1930,Acting,Stephen Ashe,True,False,nm0000859,an0050080,tt0021885,Lionel,Barrymore,Philadelphia, Pa,1878-04-28,White,Roman Catholic,Straight,Best Actor,A Free Soul,http://www.nndb.com/people/741/000043612/
2,1928,Directing,,True,False,nm0515979,an0053802,tt0019824,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,The Divine Lady,http://www.nndb.com/people/626/000042500/
2,1928,Directing,,True,False,nm0515979,an0053802,tt0019824,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,Cavalcade,http://www.nndb.com/people/626/000042500/
2,1928,Directing,,False,True,nm0515979,an0053807,tt0019833,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,The Divine Lady,http://www.nndb.com/people/626/000042500/
2,1928,Directing,,False,True,nm0515979,an0053807,tt0019833,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,Cavalcade,http://www.nndb.com/people/626/000042500/
2,1928,Directing,,False,True,nm0515979,an0053806,tt0019557,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,The Divine Lady,http://www.nndb.com/people/626/000042500/
2,1928,Directing,,False,True,nm0515979,an0053806,tt0019557,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,Cavalcade,http://www.nndb.com/people/626/000042500/
6,1932,Directing,,True,False,nm0515979,an0052213,tt0023876,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,The Divine Lady,http://www.nndb.com/people/626/000042500/
6,1932,Directing,,True,False,nm0515979,an0052213,tt0023876,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,Cavalcade,http://www.nndb.com/people/626/000042500/
8,1935,Directing,,False,False,nm0515979,an0050255,tt0026752,Frank,Lloyd,Glasgow, Scotland,1886-02-02,White,Na,Straight,Best Director,The Divine Lady,http://www.nndb.com/people/626/000042500/
